sample_id,gamma,kappa,seed
0,2.0,1.0,0
1,2.0,1.0,1
2,2.0,1.0,2
3,2.0,2.0,3
4,2.0,2.0,4
5,2.0,2.0,5
6,2.0,3.0,6
7,2.0,3.0,7
8,2.0,3.0,8
9,48.989794855663554,1.0,9
10,48.989794855663554,1.0,10
11,48.989794855663554,1.0,11
12,48.989794855663554,2.0,12
13,48.989794855663554,2.0,13
14,48.989794855663554,2.0,14
15,48.989794855663554,3.0,15
16,48.989794855663554,3.0,16
17,48.989794855663554,3.0,17
18,1199.9999999999995,1.0,18
19,1199.9999999999995,1.0,19
20,1199.9999999999995,1.0,20
21,1199.9999999999995,2.0,21
22,1199.9999999999995,2.0,22
23,1199.9999999999995,2.0,23
24,1199.9999999999995,3.0,24
25,1199.9999999999995,3.0,25
26,1199.9999999999995,3.0,26
